Season,Team,Player,Pos,TotalPoints,TotalPointsAboveAvg
2019,LSU,Marcel Brooks,Edge,4,0
2019,LSU,Cameron Lewis,S,3,-4
2019,LSU,Ray Thornton,Edge,3,-1
2019,LSU,Stephen Sullivan,TE,3,-4
2019,LSU,Andre Anthony,Edge,3,-5
2019,LSU,Trey Palmer,WR,0,-2
2019,Memphis,Brady White,QB,103,27
2019,Memphis,Kenneth Gainwell,RB,52,32
2019,Memphis,Antonio Gibson,WR,48,36
2019,Memphis,Bryce Huff,Edge,38,14
2019,Memphis,Obinna Eze,LT,38,6
2019,Memphis,Scottie Dill,RT,35,7
2019,Memphis,Dustin Woodard,C,34,3
2019,Memphis,Damonte Coxie,WR,32,17
2019,Memphis,Dylan Parham,LG,31,3
2019,Memphis,Quindell Johnson,S,31,15
2019,Memphis,Manuel Orona-Lopez,RG,31,2
2019,Memphis,Sanchez Blake Jr.,S,28,10
2019,Memphis,T.J. Carter,CB,27,4
2019,Memphis,Austin Hall,LB,25,4
2019,Memphis,Jacobi Francis,CB,24,2
2019,Memphis,Joseph Dorceus,Edge,22,4
2019,Memphis,Joey Magnifico,TE,21,0
2019,Memphis,Xavier Cullens,LB,18,4
2019,Memphis,La'Andre Thomas,S,18,-5
2019,Memphis,Kedarian Jones,WR,14,0
2019,Memphis,Chris Claybrooks,CB,13,1
2019,Memphis,Tim Hart,LB,11,-3
2019,Memphis,O'Bryan Goodson,IDL,11,-5
2019,Memphis,Joey Bryant,CB,11,2
2019,Memphis,Jalil Clemons,Edge,10,2
2019,Memphis,Calvin Austin III,WR,9,6
2019,Memphis,Thomas Pickens,LB,8,-10
2019,Memphis,Kameron Wilson,TE,8,-1
2019,Memphis,Morris Joseph Jr.,IDL,8,-3
2019,Memphis,John Tate IV,IDL,7,0
2019,Memphis,Isaac Ellis,LG,6,-2
2019,Memphis,JJ Russell,LB,6,-16
2019,Memphis,Carlito Gonzalez,S,6,0
2019,Memphis,Jonathan Wilson,IDL,6,-12
2019,Memphis,Kylan Watkins,RB,5,0
2019,Memphis,Brian Thomas Jr.,LT,2,-2
2019,Memphis,Sean Dykes,TE,2,-2
2019,Memphis,Desmond Hawkins,IDL,1,-7
2019,Memphis,Braylon Brown,IDL,1,-3
2019,Memphis,Everitt Cunningham,Edge,0,-13
2019,Memphis,Patrick Taylor Jr.,RB,-5,-11
2019,Minnesota,Tanner Morgan,QB,119,60
2019,Minnesota,Antoine Winfield Jr.,S,62,33
2019,Minnesota,Rashod Bateman,WR,40,29
2019,Minnesota,Carter Coughlin,Edge,37,15
2019,Minnesota,Tyler Johnson,WR,36,24
2019,Minnesota,Sam Schlueter,LT,34,2
2019,Minnesota,Sam Renner,IDL,33,14
2019,Minnesota,Conner Olson,C,29,-2
2019,Minnesota,Chris Williamson,CB,29,7
2019,Minnesota,Blaise Andries,LG,26,-3
2019,Minnesota,Mohamed Ibrahim,RB,26,17
2019,Minnesota,Rodney Smith,RB,26,10
2019,Minnesota,Benjamin St-Juste,CB,26,7
2019,Minnesota,Kamal Martin,LB,25,9
2019,Minnesota,Daniel Faalele,RT,25,3
2019,Minnesota,Coney Durr,CB,24,2
2019,Minnesota,Jordan Howden,S,24,-3
2019,Minnesota,John Michael Schmitz,C,22,6
2019,Minnesota,Curtis Dunlap Jr.,RG,21,-7
2019,Minnesota,Kiondre Thomas,CB,16,4
2019,Minnesota,Thomas Barber,LB,12,-13
2019,Minnesota,Ko Kieft,TE,11,-2
2019,Minnesota,Winston DeLattiboudere,Edge,10,-8
2019,Minnesota,Jake Paulson,TE,10,-1
2019,Minnesota,Mariano Sori-Marin,LB,9,-7
2019,Minnesota,Esezi Otomewo,Edge,9,-3
2019,Minnesota,Chris Autman-Bell,WR,9,0
2019,Minnesota,Boye Mafe,Edge,9,2
2019,Minnesota,Keonte Schad,IDL,7,0
2019,Minnesota,Demetrius Douglas,WR,7,2
2019,Minnesota,Jamaal Teague,IDL,6,-1
2019,Minnesota,Terell Smith,CB,6,1
2019,Minnesota,Bryce Witham,TE,6,0
2019,Minnesota,Seth Green,TE,6,4
2019,Minnesota,Shannon Brooks,RB,5,0
2019,Minnesota,Micah Dew-Treadway,IDL,4,-14
2019,Minnesota,Brevyn Spann-Ford,TE,4,2
2019,Minnesota,Braelen Oliver,LB,1,-7
2019,Minnesota,Tai'yon Devers,Edge,0,-9
2019,Navy,Malcolm Perry,QB,121,87
2019,Navy,Diego Fagot,LB,48,22
2019,Navy,Ford Higgins,C,39,9
2019,Navy,Billy Honaker,RT,38,10
2019,Navy,Kendel Wright,LT,38,9
2019,Navy,Peter Nestrowitz,RG,36,7
2019,Navy,Michael McMorris,CB,36,11
2019,Navy,David Forney,LG,34,4
2019,Navy,Jake Springer,CB,32,6
2019,Navy,Jamale Carothers,RB,30,20
2019,Navy,Kevin Brennan,S,27,2
2019,Navy,CJ Williams,RB,26,14
2019,Navy,Tazh Maloy,RB,26,13
2019,Navy,Paul Carothers,LB,24,11
2019,Navy,Mychal Cooper,WR,23,12
2019,Navy,Jackson Pittman,IDL,20,0
2019,Navy,J'arius Warren,IDL,19,-3
2019,Navy,Keoni-Kordell Makekau,RB,17,7
2019,Navy,Cameron Kinley,CB,16,-8
2019,Navy,Chance Warren,RB,14,9
2019,Navy,Evan Fochtman,S,13,-12
2019,Navy,Jackson Perkins,Edge,12,-4
2019,Navy,Ryan Mitchell,WR,11,3
2019,Navy,Myles Fells,RB,10,2
2019,Navy,Carter Bankston,Edge,10,4
2019,Navy,Micah Farrar,CB,9,4
2019,Navy,Nelson Smith,FB,8,-1
2019,Navy,Tyler Pistorio,LB,8,4
2019,Navy,Justin Self,RT,7,2
2019,Navy,Tony Brown,CB,7,2
2019,Navy,Denzel Polk,Edge,7,0
2019,Navy,Tama Tuitele,LB,6,1
2019,Navy,Chelen Garnes,CB,6,2
2019,Navy,OJ Davis,WR,5,-1
2019,Navy,Dave Tolentino,IDL,5,-2
2019,Navy,Mike Flowers,IDL,4,-1
2019,Navy,Elan Nash,S,3,-7
2019,Navy,Tanner Matthews,WR,3,1
2019,Navy,Nizaire Cromartie,Edge,2,-23
2019,Navy,Walter Little,LB,0,-5
2019,Navy,Marcus Edwards,IDL,0,-6
2019,Navy,Isaac Ruoss,FB,-3,-5
2019,Notre Dame,Ian Book,QB,121,49
2019,Notre Dame,Jeremiah Owusu-Koramoah,LB,47,25
2019,Notre Dame,Asmar Bilal,LB,44,21
2019,Notre Dame,Khalid Kareem,Edge,40,22
2019,Notre Dame,Kyle Hamilton,S,39,25
2019,Notre Dame,Troy Pride Jr.,CB,37,13
2019,Notre Dame,Alohi Gilman,S,35,12
2019,Notre Dame,Liam Eichenberg,LT,31,5
2019,Notre Dame,Adetokunbo Ogundeji,Edge,29,18
2019,Notre Dame,Aaron Banks,LG,29,2
2019,Notre Dame,Chase Claypool,WR,29,16
2019,Notre Dame,Tony Jones Jr.,RB,26,11
2019,Notre Dame,Drew White,LB,25,4
2019,Notre Dame,Jarrett Patterson,C,24,-3
2019,Notre Dame,TaRiq Bracy,CB,24,9
2019,Notre Dame,Jalen Elliott,S,23,1
2019,Notre Dame,Shaun Crawford,CB,23,10
2019,Notre Dame,Julian Okwara,Edge,22,9
2019,Notre Dame,Jamir Jones,Edge,22,10
2019,Notre Dame,Cole Kmet,TE,21,2
2019,Notre Dame,Robert Hainsey,RT,20,6
2019,Notre Dame,Josh Lugg,RT,19,4
2019,Notre Dame,Myron Tagovailoa-Amosa,IDL,19,3
2019,Notre Dame,Trevor Ruhland,RG,17,1
2019,Notre Dame,Jayson Ademilola,IDL,13,5
2019,Notre Dame,Donte Vaughn,CB,12,2
2019,Notre Dame,Tommy Kraemer,RG,11,-1
2019,Notre Dame,Braden Lenzy,WR,10,6
2019,Notre Dame,Kurt Hinish,IDL,10,-4
2019,Notre Dame,Paul Moala,Edge,9,6
2019,Notre Dame,Jacob Lacey,IDL,8,0
2019,Notre Dame,Javon McKinley,WR,6,2
2019,Notre Dame,Tommy Tremble,TE,6,-3
2019,Notre Dame,Jahmir Smith,RB,4,1
2019,Notre Dame,Chris Finke,WR,3,-9
2019,Notre Dame,Brock Wright,TE,3,-1
2019,Notre Dame,Ovie Oghoufo,Edge,2,-3
2019,Notre Dame,C'Bo Flemister,RB,1,-3
2019,Notre Dame,Ja'Mion Franklin,IDL,0,-4
2019,Notre Dame,Lawrence Keys III,WR,-2,-8
2019,Notre Dame,Jafar Armstrong,WR,-9,-14
2019,Ohio State,Justin Fields,QB,179,111
2019,Ohio State,J.K. Dobbins,RB,96,73
2019,Ohio State,Chase Young,Edge,63,44
2019,Ohio State,Jeffrey Okudah,CB,55,30
2019,Ohio State,Damon Arnette,CB,44,22
2019,Ohio State,Jonah Jackson,LG,40,10
2019,Ohio State,Malik Harrison,LB,40,15
2019,Ohio State,Branden Bowen,RT,39,12
2019,Ohio State,Wyatt Davis,RG,38,8
2019,Ohio State,Josh Myers,C,37,7
2019,Ohio State,Jordan Fuller,S,35,8
2019,Ohio State,Thayer Munford,LT,33,6
2019,Ohio State,Master Teague III,RB,33,25
2019,Ohio State,Davon Hamilton,IDL,31,18
2019,Ohio State,Pete Werner,LB,29,7
2019,Ohio State,Jashon Cornell,IDL,24,10
2019,Ohio State,Tuf Borland,LB,24,9
2019,Ohio State,Chris Olave,WR,24,17
2019,Ohio State,Binjimen Victor,WR,21,14
2019,Ohio State,Shaun Wade,CB,20,1
2019,Ohio State,Zach Harrison,Edge,18,8
2019,Ohio State,Tyreke Smith,Edge,17,9
2019,Ohio State,Luke Farrell,TE,17,4
2019,Ohio State,Baron Browning,LB,15,2
2019,Ohio State,Brendon White,CB,15,9
2019,Ohio State,K.J. Hill,WR,15,5
2019,Ohio State,Garrett Wilson,WR,14,7
2019,Ohio State,Robert Landers,IDL,14,6
2019,Ohio State,Jeremy Ruckert,TE,13,2
2019,Ohio State,Tommy Togiai,IDL,13,4
2019,Ohio State,Justin Hilliard,LB,12,9
2019,Ohio State,Cameron Brown,CB,12,3
2019,Ohio State,Sevyn Banks,CB,10,4
2019,Ohio State,Dallas Gant,LB,10,5
2019,Ohio State,Amir Riep,CB,10,2
2019,Ohio State,Harry Miller,C,9,3
2019,Ohio State,Antwuan Jackson,IDL,9,2
2019,Ohio State,Rashod Berry,TE,8,1
2019,Ohio State,Austin Mack,WR,8,3
2019,Ohio State,Nicholas Petit-Frere,RT,7,0
2019,Ohio State,Tyler Friday,Edge,7,-1
2019,Ohio State,Jake Hausmann,TE,7,0
2019,Ohio State,Gavin Cupp,RG,7,1
2019,Ohio State,Haskell Garrett,IDL,6,-2
2019,Ohio State,Joshua Alabi,LT,6,1
2019,Ohio State,Chris Chugunov,QB,6,0
2019,Ohio State,Matthew Jones,LG,5,2
2019,Ohio State,Jonathon Cooper,Edge,5,1
2019,Ohio State,Javontae Jean-Baptiste,Edge,4,-3
2019,Ohio State,Jameson Williams,WR,3,1
2019,Ohio State,Josh Proctor,S,1,-4
2019,Oklahoma,Jalen Hurts,QB,177,102
2019,Oklahoma,Kennedy Brooks,RB,63,46
2019,Oklahoma,CeeDee Lamb,WR,47,35
2019,Oklahoma,Parnell Motley,CB,46,20
2019,Oklahoma,Tre Brown,CB,44,21
2019,Oklahoma,Kenneth Murray,LB,44,16
2019,Oklahoma,Tyrese Robinson,RG,38,7
2019,Oklahoma,Pat Fields,S,37,7
2019,Oklahoma,Creed Humphrey,C,37,8
2019,Oklahoma,Ronnie Perkins,Edge,34,15
2019,Oklahoma,Marquis Hayes,LG,33,4
2019,Oklahoma,Adrian Ealy,RT,31,6
2019,Oklahoma,Jalen Redmond,IDL,28,16
2019,Oklahoma,Brendan Radley-Hiles,CB,28,5
2019,Oklahoma,Neville Gallimore,IDL,27,10
2019,Oklahoma,Delarrin Turner-Yell,S,26,0
2019,Oklahoma,Dashaun White,LB,26,7
2019,Oklahoma,Erik Swenson,LT,21,5
2019,Oklahoma,Nik Bonitto,Edge,21,6
2019,Oklahoma,Jaden Davis,CB,21,7
2019,Oklahoma,RJ Proctor,LT,19,0
2019,Oklahoma,Charleston Rambo,WR,18,6
2019,Oklahoma,Trey Sermon,RB,17,10
2019,Oklahoma,Rhamondre Stevenson,RB,15,10
2019,Oklahoma,Jeremiah Hall,FB,14,3
2019,Oklahoma,Marquise Overton,IDL,11,-1
2019,Oklahoma,Ryan Jones,LB,11,7
2019,Oklahoma,David Ugwoegbu,Edge,11,2
2019,Oklahoma,Brayden Willis,TE,11,2
2019,Oklahoma,Lee Morris,WR,10,1
2019,Oklahoma,Nick Basquine,WR,9,2
2019,Oklahoma,LaRon Stokes,IDL,9,-6
2019,Oklahoma,Jon-Michael Terry,Edge,8,2
2019,Oklahoma,Theo Wease Jr.,WR,6,3
2019,Oklahoma,Ian Mciver,C,5,1
2019,Oklahoma,Jadon Haselwood,WR,5,1
2019,Oklahoma,Brey Walker,RG,5,-1
2019,Oklahoma,Marcus Stripling,Edge,4,-2
2019,Oklahoma,Justin Broiles,S,4,-6
2019,Oklahoma,Grant Calcaterra,TE,4,1
2019,Oklahoma,Kenneth Mann,IDL,4,-1
2019,Oklahoma,Dillon Faamatau,IDL,3,-3
2019,Oklahoma,Caleb Kelly,LB,3,-1
2019,Oklahoma,Brian Asamoah,LB,2,-3
2019,Oklahoma,Austin Stogner,TE,2,0
2019,Oklahoma,A.D. Miller,WR,0,-2
2019,Oregon,Justin Herbert,QB,141,63
2019,Oregon,Thomas Graham Jr.,CB,59,33
2019,Oregon,Brady Breeze,S,49,34
2019,Oregon,Troy Dye,LB,43,18
2019,Oregon,Penei Sewell,LT,36,5
2019,Oregon,Calvin Throckmorton,RT,34,3
2019,Oregon,Deommodore Lenoir,CB,31,6
2019,Oregon,Shane Lemieux,LG,31,0
2019,Oregon,Jake Hanson,C,31,6
2019,Oregon,Isaac Slade-Matautia,LB,31,6
2019,Oregon,Jevon Holland,CB,31,3
2019,Oregon,CJ Verdell,RB,29,13
2019,Oregon,Kayvon Thibodeaux,Edge,27,12
2019,Oregon,Mykael Wright,CB,26,17
2019,Oregon,Drayton Carlberg,IDL,24,6
2019,Oregon,Dallas Warmack,RG,24,5
2019,Oregon,Bryson Young,Edge,21,4
2019,Oregon,Nick Pickett,S,21,0
2019,Oregon,Jacob Breeland,TE,21,13
2019,Oregon,Verone McKinley III,S,21,-2
2019,Oregon,Brady Aiello,RG,18,0
2019,Oregon,Johnny Johnson III,WR,18,5
2019,Oregon,Mase Funa,Edge,18,7
2019,Oregon,Jordon Scott,IDL,17,0
2019,Oregon,Hunter Kampmoyer,TE,14,-2
2019,Oregon,Popo Aumavae,IDL,13,7
2019,Oregon,Sampson Niu,LB,12,5
2019,Oregon,Austin Faoliu,IDL,11,-3
2019,Oregon,Juwan Johnson,WR,10,2
2019,Oregon,La'Mar Winston Jr,Edge,8,-3
2019,Oregon,Jaylon Redd,WR,8,2
2019,Oregon,DJ Johnson,Edge,8,3
2019,Oregon,Ryan Bay,TE,7,-2
2019,Oregon,Travis Dye,RB,7,0
2019,Oregon,Cyrus Habibi-Likio,RB,6,0
2019,Oregon,Mycah Pittman,WR,5,2
2019,Oregon,Bryan Addison,S,5,-2
2019,Oregon,Gus Cumberlander,Edge,4,-1
2019,Oregon,MJ Cunningham,LB,4,0
2019,Oregon,Spencer Webb,TE,4,-1
2019,Oregon,Gary Baker,IDL,3,0
2019,Oregon,Josh Delgado,WR,1,-3
2019,Penn State,Sean Clifford,QB,73,10
2019,Penn State,Micah Parsons,LB,58,37
2019,Penn State,Journey Brown,RB,38,26
2019,Penn State,Yetur Gross-Matos,Edge,37,21
2019,Penn State,Michal Menet,C,35,7
2019,Penn State,Jan Johnson,LB,33,19
2019,Penn State,Will Fries,RT,31,3
2019,Penn State,Steven Gonzalez,LG,31,3
2019,Penn State,Lamont Wade,S,31,8
2019,Penn State,Shaka Toney,Edge,31,13
2019,Penn State,John Reid,CB,31,11
2019,Penn State,Pat Freiermuth,TE,30,9
2019,Penn State,Garrett Taylor,S,26,3
2019,Penn State,Rasheed Walker,LT,25,2
2019,Penn State,Robert Windsor,IDL,25,7
2019,Penn State,Noah Cain,RB,23,16
2019,Penn State,Tariq Castro-Fields,CB,23,5
2019,Penn State,PJ Mustipher,IDL,22,9
2019,Penn State,Cam Brown,LB,21,3
2019,Penn State,Nick Bowers,TE,20,11
2019,Penn State,KJ Hamler,WR,20,9
2019,Penn State,Ellis Brooks,LB,19,11
2019,Penn State,Mike Miranda,RG,16,-2
2019,Penn State,Jayson Oweh,Edge,15,5
2019,Penn State,Jaquan Brisker,S,15,0
2019,Penn State,C.J. Thorpe,RG,15,0
2019,Penn State,Adisa Isaac,Edge,13,8
2019,Penn State,Jahan Dotson,WR,12,0
2019,Penn State,Keaton Ellis,CB,11,4
2019,Penn State,Trent Gordon,CB,10,3
2019,Penn State,Antonio Valentino,IDL,10,-2
2019,Penn State,Marquis Wilson,CB,9,3
2019,Penn State,Des Holmes,LT,9,-1
2019,Penn State,Fred Hansard,IDL,8,2
2019,Penn State,Will Levis,QB,8,-3
2019,Penn State,Shane Simmons,Edge,8,0
2019,Penn State,Brandon Smith,LB,7,3
2019,Penn State,Jesse Luketa,LB,6,0
2019,Penn State,Devyn Ford,RB,6,2
2019,Penn State,Daniel George,WR,1,-3
2019,Penn State,Daniel Joseph,Edge,1,-3
2019,Penn State,Justin Shorter,WR,1,-4
2019,Penn State,Mac Hippenhammer,WR,-1,-2
2019,Penn State,Ricky Slade,RB,-1,-6
2019,Penn State,Dan Chisena,WR,-3,-6
2019,Penn State,Jonathan Sutherland,LB,-4,-9
2019,San Diego State,Ryan Agnew,QB,71,9
2019,San Diego State,Kyahva Tezino,LB,51,22
2019,San Diego State,Luq Barcoo,CB,48,19
2019,San Diego State,Dwayne Johnson Jr.,S,47,20
2019,San Diego State,Darren Hall,CB,41,16
2019,San Diego State,Cameron Thomas,IDL,32,10
2019,San Diego State,Myles Cheatum,IDL,31,5
2019,San Diego State,William Dunkle,RG,30,3
2019,San Diego State,Keith Ismael,C,27,-2
2019,San Diego State,Zachary Thomas,RT,27,7
2019,San Diego State,Daishawn Dixon,LG,26,-1
2019,San Diego State,Tariq Thompson,CB,22,-8
2019,San Diego State,Kyle Spalding,LT,21,-3
2019,San Diego State,Trenton Thompson,S,20,4
2019,San Diego State,Caden McDonald,Edge,16,-5
2019,San Diego State,Jacob Capra,RT,15,-2
2019,San Diego State,Tayler Hawkins,S,15,5
2019,San Diego State,Daniel Bellinger,TE,15,-4
2019,San Diego State,Kyree Woods,CB,14,6
2019,San Diego State,Jesse Matthews,WR,14,2
2019,San Diego State,Keshawn Banks,Edge,14,-13
2019,San Diego State,Troy Cassidy,LB,11,-7
2019,San Diego State,Parker Houston,TE,11,-9
2019,San Diego State,Jonah Tavai,IDL,9,3
2019,San Diego State,Isaac Lessard,FB,6,1
2019,San Diego State,Isaiah Richardson,WR,4,1
2019,San Diego State,Ethan Dedeaux,WR,3,-2
2019,San Diego State,Elijah Kothe,WR,3,-1
2019,San Diego State,Dominic Gudino,RG,2,-2
2019,San Diego State,BJ Busbee,WR,1,-4
2019,San Diego State,Kobe Smith,WR,1,-9
2019,San Diego State,Connor Mitchell,Edge,1,-4
2019,San Diego State,Chase Jasmin,RB,0,-8
2019,San Diego State,Chance Bell,RB,-1,-7
2019,San Diego State,Jordan Byrd,RB,-3,-8
2019,San Diego State,Andrew Aleki,Edge,-3,-21
2019,San Diego State,Juwan Washington,RB,-33,-43
2019,SMU,Shane Buechele,QB,148,73
2019,SMU,Ar'mani Johnson,CB,39,20
2019,SMU,Hayden Howerton,LG,38,9
2019,SMU,Kylen Granson,TE,32,12
2019,SMU,Patrick Nelson,CB,32,5
2019,SMU,Alan Ali,C,31,1
2019,SMU,Brandon Stephens,CB,31,5
2019,SMU,Beau Morris,RT,31,3
2019,SMU,Jaylon Thomas,LT,31,1
2019,SMU,James Proche,WR,26,14
2019,SMU,Zach Abercrumbia,IDL,25,12
2019,SMU,Turner Coxe,Edge,23,5
2019,SMU,Richard McBryde,LB,22,0
2019,SMU,Delontae Scott,Edge,20,0
2019,SMU,Delano Robinson,LB,17,-3
2019,SMU,Xavier Jones,RB,17,0
2019,SMU,Nick Dennis,RG,17,-2
2019,SMU,Rodney Clemons,S,16,-11
2019,SMU,Cobe Bryant,RG,14,1
2019,SMU,Ryan Becker,TE,14,-1
2019,SMU,Reggie Roberson Jr.,WR,14,8
2019,SMU,Demerick Gary,IDL,11,-2
2019,SMU,Pono Davis,IDL,10,-6
2019,SMU,Tyeson Neals,Edge,10,3
2019,SMU,"Robert Hayes, Jr.",CB,10,0
2019,SMU,Gary Wiley,Edge,7,0
2019,SMU,Rashee Rice,WR,6,0
2019,SMU,Terrance Newman,IDL,5,2
2019,SMU,Tyler Page,WR,4,1
2019,SMU,Kadarius Smith,IDL,4,0
2019,SMU,Brian Holloway,LB,4,-2
2019,SMU,Trevor Denbow,S,4,-20
2019,SMU,Richard Moore,LB,4,-1
2019,SMU,Toby Ndukwe,Edge,3,0
2019,SMU,Shaine Hailey,LB,3,-1
2019,SMU,Nelson Paul,Edge,3,-3
2019,SMU,C.J. Sanders,WR,3,0
2019,SMU,Chevin Calloway,S,2,-3
2019,SMU,Ben Redding,TE,1,0
2019,SMU,Chris Biggurs,IDL,0,-7
2019,SMU,Myron Gailliard,WR,-1,-7
2019,SMU,Chace Cromartie,S,-1,-9
2019,SMU,Ke'Mon Freeman,RB,-2,-11
2019,UCF,Dillon Gabriel,QB,88,28
2019,UCF,Nate Evans,LB,41,22
2019,UCF,Tay Gowan,CB,38,16
2019,UCF,Eric Mitchell,LB,37,23
2019,UCF,Jake Brown,RT,36,9
2019,UCF,Parker Boudreaux,RG,35,8
2019,UCF,Jordan Johnson,C,35,8
2019,UCF,Cole Schneider,LG,34,11
2019,UCF,Nevelle Clarke,CB,32,12
2019,UCF,Antwan Collier,S,32,8
2019,UCF,Samuel Jackson,LT,27,7
2019,UCF,Adrian Killins Jr.,RB,24,18
2019,UCF,Eriq Gilyard,LB,22,4
2019,UCF,Gabriel Davis,WR,21,10
2019,UCF,Richie Grant,S,21,-6
2019,UCF,Kenny Turnier,IDL,20,6
2019,UCF,Aaron Robinson,CB,18,-6
2019,UCF,Marlon Williams,WR,17,8
2019,UCF,Greg McCrae,RB,17,9
2019,UCF,Kalia Davis,IDL,16,3
2019,UCF,Tre'mon Morris-Brash,Edge,15,7
2019,UCF,Randy Charlton,Edge,15,6
2019,UCF,Tre Nixon,WR,13,1
2019,UCF,Jacob Harris,WR,10,3
2019,UCF,Anthony Montalvo,IDL,10,-2
2019,UCF,Bentavious Thompson,RB,9,3
2019,UCF,Edward Collins,LT,9,2
2019,UCF,Landon Woodson,Edge,8,2
2019,UCF,Cam Goode,IDL,8,3
2019,UCF,Jake Hescock,TE,7,-4
2019,UCF,Tatum Bethune,LB,6,2
2019,UCF,Darriel Mack Jr.,QB,6,-1
2019,UCF,Brendon Hayes,Edge,6,-11
2019,UCF,Mason Cholewa,IDL,5,0
2019,UCF,Derek Gainous,S,5,1
2019,UCF,Tony Gray,LT,5,1
2019,UCF,Stephon Zayas,Edge,4,-8
2019,UCF,Matt Lee,LG,4,0
2019,UCF,Otis Anderson,RB,3,-7
2019,UCF,Lokahi Pauole,RG,3,0
2019,UCF,Anthony Roberson,TE,3,1
2019,UCF,Jordan Hayes,S,2,-2
2019,UCF,Noah Hancock,IDL,2,-5
2019,UCF,Brandon Wilson,IDL,2,-3
2019,UCF,Zamari Maxwell,CB,0,-12
2019,UCF,Chris DeLoach,Edge,-3,-9
2019,UCF,Dyllon Lester,CB,-3,-7
2019,Utah,Tyler Huntley,QB,101,38
2019,Utah,Zack Moss,RB,98,80
2019,Utah,Julian Blackmon,S,60,37
2019,Utah,Devin Lloyd,LB,57,27
2019,Utah,Terrell Burgess,CB,54,25
2019,Utah,Francis Bernard,LB,51,22
2019,Utah,Josh Nurse,CB,39,22
2019,Utah,Bradlee Anae,Edge,39,11
2019,Utah,Jaylon Johnson,CB,38,12
2019,Utah,Darrin Paulo,LT,37,9
2019,Utah,Mika Tafua,Edge,37,16
2019,Utah,John Penisini,IDL,30,9
2019,Utah,Brant Kuithe,TE,29,11
2019,Utah,Nick Ford,RG,28,-2
2019,Utah,Orlando Umana,C,27,2
2019,Utah,Braeden Daniels,LG,27,-3
2019,Utah,Simi Moala,RT,26,-2
2019,Utah,Leki Fotu,IDL,26,7
2019,Utah,Cole Fotheringham,TE,25,7
2019,Utah,Javelin Guidry,CB,24,-3
2019,Utah,Maxs Tupai,Edge,14,2
2019,Utah,Hunter Thedford,TE,12,2
2019,Utah,Samson Nacua,WR,12,6
2019,Utah,Tareke Lewis,CB,11,-7
2019,Utah,Bryan Thompson,WR,11,6
2019,Utah,R.J. Hubert,S,9,1
2019,Utah,Solomon Enis,WR,8,1
2019,Utah,Paul Toala,C,8,-1
2019,Utah,Jaylen Dixon,WR,7,2
2019,Utah,Viane Moala,IDL,7,-3
2019,Utah,Hauati Pututau,IDL,6,-4
2019,Utah,Johnny Maea,RG,4,-1
2019,Utah,Devin Brumfield,RB,4,-2
2019,Utah,Derrick Vickers,WR,3,-1
2019,Utah,Demari Simpkins,WR,2,-7
2019,Utah,Jason Shelley,QB,0,-3
2021,Air Force,Vince Sanford,Edge,53,22
2021,Air Force,Hawk Wimmer,RG,40,14
2021,Air Force,Tre Bugg III,CB,40,7
2021,Air Force,Christopher Herrera,Edge,36,6
2021,Air Force,Jordan Jackson,IDL,35,2
2021,Air Force,Everett Smalley,LT,31,9
2021,Air Force,Trey Taylor,S,30,5
2021,Air Force,Camby Goff,CB,27,7
2021,Air Force,Brandon Lewis,WR,26,22
2021,Air Force,Isaac Cochran,LG,25,10
2021,Air Force,Kaleb Holcomb,RT,25,9
2021,Air Force,DeAndre Hughes,RB,21,9
2021,Air Force,Alec Mock,LB,20,-4
2021,Air Force,Dane Kinamon,WR,20,7
2021,Air Force,Haaziq Daniels,QB,20,1
2021,Air Force,Luke Hallstrom,C,19,8
2021,Air Force,Thor Paglialong,C,16,2
2021,Air Force,Wesley Ndago,LG,16,5
2021,Air Force,Micah Davis,WR,16,10
2021,Air Force,Michael Mack,CB,16,2
2021,Air Force,Ryan Booth,RT,15,4
2021,Air Force,Dalton King,TE,14,5
2021,Air Force,Corvan Taylor,S,14,-18
2021,Air Force,TD Blackmon,LB,12,1
2021,Air Force,Ayden McCollough,LG,10,5
2021,Air Force,Adam Karas,LT,10,2
2021,Air Force,Bo Richter,LB,7,-2
2021,Air Force,Kyle Patterson,TE,7,2
2021,Air Force,Demonte Meeks,LB,6,-11
2021,Air Force,Caden Blum,Edge,6,0
2021,Air Force,Benjamin Mercer,C,4,0
2021,Air Force,Jayden Thiergood,IDL,4,-7
2021,Air Force,Jayden Goodwin,CB,4,-2
2021,Air Force,Elijah Brockman,IDL,3,-6
2021,Air Force,David Cormier,WR,3,-1
2021,Air Force,Kalawai'a Pescaia,IDL,3,-10
2021,Air Force,Jorden Gidrey,RB,3,-2
2021,Air Force,Zion Kelly,CB,3,-9
2021,Air Force,Jake Spiewak,WR,2,-2
2021,Air Force,Omar Fattah,FB,2,0
2021,Air Force,Caleb Humphrey,Edge,2,-4
2021,Air Force,Eian Castonguay,CB,1,-7
2021,Air Force,Johnathan Youngblood,LB,1,-6
2021,Air Force,Ethan Erickson,S,0,-6
2021,Air Force,Emmanuel Michel,FB,0,-3
2021,Air Force,Brandon Gooding,Edge,-1,-6
2021,Air Force,Brad Roberts,FB,-1,-11
2021,Alabama,Bryce Young,QB,195,117
2021,Alabama,Will Anderson Jr.,Edge,90,55
2021,Alabama,Jordan Battle,S,84,45
2021,Alabama,Brian Robinson Jr.,RB,62,45
2021,Alabama,Demarcco Hellams,S,54,23
